id,nome,marca,categoria,status,foto_real_estatica_ou_validada,resolver_automatico,imagem,fonte_imagem,tipo_imagem,oferta_url
vaso-sanitario-monobloco-orbit-completo-com-caixa-acoplada-privada-ceramica-branca-cod-alut0,Vaso Sanitario Monobloco Orbit Completo com Caixa Acoplada Privada Ceramica Branca Cod Alut020031 Alut By Avant,Avant,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_814019-MLA114294423721_072026-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BCNEsJGH9ckCw5W6vB%2F9NmA8bh5EKpkPTot9aK11aqQYP%2FZnt4zjzxAmKsj03kZueViLfKxnVCMAwrZffIyDH3NqX63XfOVKL4Oyn6VI6eTmvR7gEG09%2FQ3bdwMZ4iqxEr2XiRM8Vh%2FmFL%2B4kNLuInUIQRZ%2BoYaXASDEL6X5i5w8RQJ0PIuOefOD8%2BKL%2FjvrNcpxx8c%3D,foto-remota-validada,https://meli.la/2JAXSUV
cuba-de-apoio-retangular-com-mesa-fit-45x38cm-branco-celite,Cuba de Apoio Retangular com Mesa Fit 45x38cm Branco Celite,Celite,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_832409-MLA95196176770_102025-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BLbl3%2BlbHCiuaNNAcIdTv9kbbi7IN4UqroZiiyas6aRAITZLKh7krwu6YrxC%2BBr5eKeAUO9dkr%2F6VEO4kxDbREcknuBetr9lOXp5Shtqk9U0dhu9OEM384%2BDAkQPUjiXbT4idE1o5zy8mz45pZa022ZcTIp2J6g3H3qY8pEH3K0b0HzTEUWyAQLH7orVh8zNcA3yhNI%3D,foto-remota-validada,https://meli.la/1dciDE9
kit-vaso-sanitario-celite-like-branco-com-caixa-acoplada-bacia-quadrada-assento-soft-close-e,Kit Vaso Sanitario Celite Like Branco com Caixa Acoplada Bacia Quadrada Assento Soft Close Ecoflush 36l Duplo Acionamento Anel Vedacao Flexivel Fixacao Completo,Celite,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_763242-MLA95935530065_102025-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BDu7VqRCLHHlV1s7jkQobNMDmZpAK5pv3ftlu5cV2KFGySgKtDbddunB7i3qtEmYAIhOGZeY%2FC7wfvxRtITTJm8Yj7I6mEbbVRl0U8rf9aMlQyRQON8bXh92fKQgggqCoR0RPuRLFelQOUKsQFZxIjg2fd7NHOC2gM0KScxvzjqX%2FfWWs3SdupjNXOrk%2Fz5anOdU3gM%3D,foto-remota-validada,https://meli.la/2zkQAkm
torneira-lavatorio-mesa-pia-cuba-bica-alta-basic-celite-acabamento-cromado-cor-prateado,Torneira Lavatorio Mesa Pia Cuba Bica Alta Basic Celite Acabamento Cromado Cor Prateado,Celite,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_737087-MLA95658000604_102025-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BMHw59CXZ6ACE%2FzNRFY1kk19vPphwPrn7THszLz4g4%2BVW2JGATnZ%2BdwfrUSnfF4cBlb8Y7oyCdNW%2BcukAZzo2G3QPE2i6W6yWnjcxrmOembFASsFRg7gN5NF3XrbsOE03Zyhiekhb%2FnaUnfyzjbaXS2nrnPuf0n%2F9t3QFubuPA8ojTXwqvBT6hR%2BZhAFNC7D1RrJggo%3D,foto-remota-validada,https://meli.la/2kidXu1
coral-tinta-acrilica-fosco-baixo-odor-16l-cor-palha,Coral Tinta Acrilica Fosco Baixo Odor 16l Cor Palha,Coral,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_914710-MLA99943279147_112025-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BB%2FIRCXJhjmpDmZX46DWvK5srEZFtOgt3kgMDKJq0%2FHpQ9MeK9j2y9SS3atB9Oot2yJVSIpPGyN%2F8JYhWBuJ5F4OVCzmlJDbb%2BYYVaXat5Cq0CesvOrGlltrZF%2FtmOQXUO1%2FtAAUSK2wLpEypFniCUNZsY2AJU3SymsD7AjIkLbrQpIvc2R58AyLKxPAmGuAETrP0Vk%3D,foto-remota-validada,https://meli.la/1kqwDw3
latex-acrilica-tinta-coral-anti-mofo-branco-18l-coralar-branco-fosco,Latex Acrilica Tinta Coral Anti Mofo Branco 18l Coralar Branco Fosco,Coral,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_807241-MLA99565665626_122025-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BLmZh7qq7suSepCiF1RFE0OFDpLk5IYv550TxvD%2BoXSXbaooxpCeMoGEDAxv47wNiwyEgHh4MGmZLJvr0HbZNY9FLADC7f%2FBEeVr8Ou9NA5cvwQaWBjsbpcDHSr1NphyecbDOopO74zB9Lv7xZUl0r%2BZuBOPnC0A5kO2DcNH%2FK9RjlksiXIAdq%2B5PdyjJ8FvmyXHSOM%3D,foto-remota-validada,https://meli.la/2erbvns
massa-corrida-pva-coral-25kg-fosca-para-interiores-rendimento-75m,Massa Corrida Pva Coral 25kg Fosca para Interiores Rendimento 75m,Coral,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_978265-MLA99450341818_112025-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BD2kOUhmDjY0J5V7i1xEJOAzXfBriA4eBt3673Ojztlc4jnwcrJrFTifyL2aKs8Opfx7bTWAgjL67omirha2OUkDo9rwCQVG8G65tg7zeOFwm2%2FFcmMPufjdOlqL1VtoXA4QeSUE%2BACKplgMVEDo%2BA1MT9x%2B0bl%2BXu%2BMi09JwFF6mC%2FEknspIj0HphyXzH8xUAFQwZQ%3D,foto-remota-validada,https://meli.la/2PepuEk
selador-acrilico-coral-branco-18l-para-paredes-interior-exterior,Selador Acrilico Coral Branco 18l para Paredes Interior Exterior,Coral,Acabamentos,foto-real-confirmada,sim,nao,assets/produtos/selador-acrilico-coral-branco-18l-para-paredes-interior-exterior.webp,https://www.coral.com.br/pt/produtos/selador-acrilico,oficial,https://meli.la/1EhcoCU
tinta-acrilica-coral-coralar-interna-fosca-alta-cobertura,Tinta Acrilica Coral Coralar Interna Fosca Alta Cobertura,Coral,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_880234-MLB113302016034_072026-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BLfWwtYKf36ZQGBVo8lP%2Fguuc2EARlSqpzHn%2BCCCNedp1957tVyvkvv2pLRR3yLTCfAe4S%2FjBqgGpaAZVanR3o03YTxvYBDt6BrPwO6FGe99x%2B6CudG4FaqHrIWJ6aQ%2FS6gpLy1ItaqJJSSsmt6aIzUt2g%2BP6eN%2Fd9yT9Vj7If%2BBgP4PfouX2XNPD6K%2Be6M9dII50PHoj7th2IEy1g%3D%3D,foto-remota-validada,https://meli.la/2nc7TpR
tinta-fosca-para-gesso-branco-coral-18-litros,Tinta Fosca para Gesso Branco Coral 18 Litros,Coral,Acabamentos,foto-real-confirmada,sim,nao,https://http2.mlstatic.com/D_NQ_NP_900137-MLB90364309369_082025-O.webp,https://www.mercadolivre.com.br/social/edsonreiterconcatto?matt_word=edsonreiterconcatto&matt_tool=37292649&forceInApp=true&ref=BKTgIIzpKEEOJfVnDzCiWNLgWBlC7X3%2FGrFp3c6ceX1pqTMHgULdWGeQr7bc0XF%2B0dHCR9NJlZfV4bmz%2Fg8G7fBRx30VF%2F2T%2FBgsthBuLMhnv9Tv6izgTx%2FAV%2FaxO8Uhsnin2YmghP7uo4ff163u%2FbuE0vdMhOi6JiE74fcGTAru5iL9MXxdEfngor5wUgJ%2BxXA9yf2evb1Xd%2Bc6bQ%3D%3D,foto-remota-validada,https://meli.la/1eULMoQ
