origem,tipo,href,status,observacao
404.html,interno,/,ok,resolução local estática
404.html,interno,/universos,ok,resolução local estática
404.html,interno,/ofertas,ok,resolução local estática
404.html,interno,/catalogo,ok,resolução local estática
404.html,interno,/montar,ok,resolução local estática
404.html,interno,/,ok,resolução local estática
404.html,interno,/catalogo,ok,resolução local estática
404.html,interno,/busca,ok,resolução local estática
acabamentos.html,interno,/,ok,resolução local estática
acabamentos.html,interno,universos,ok,resolução local estática
acabamentos.html,interno,ofertas,ok,resolução local estática
acabamentos.html,interno,catalogo,ok,resolução local estática
acabamentos.html,interno,montar,ok,resolução local estática
acabamentos.html,interno,minha-lista,ok,resolução local estática
acabamentos.html,interno,carrinho,ok,resolução local estática
acabamentos.html,interno,casa-studio#etapas,ok,resolução local estática
acabamentos.html,interno,minha-casa,ok,resolução local estática
acabamentos.html,interno,comparativo-acabamentos,ok,resolução local estática
acabamentos.html,interno,#,controlado_por_js,indisponível até uma seleção válida
acessorios-tech.html,interno,/,ok,resolução local estática
acessorios-tech.html,interno,universos,ok,resolução local estática
acessorios-tech.html,interno,ofertas,ok,resolução local estática
acessorios-tech.html,interno,catalogo,ok,resolução local estática
acessorios-tech.html,interno,montar,ok,resolução local estática
acessorios-tech.html,interno,minha-lista,ok,resolução local estática
acessorios-tech.html,interno,carrinho,ok,resolução local estática
acessorios-tech.html,interno,comparativo-acessorios?tipo=powerbank,ok,resolução local estática
ambiente-casa.html,interno,/,ok,resolução local estática
ambiente-casa.html,interno,universos,ok,resolução local estática
ambiente-casa.html,interno,ofertas,ok,resolução local estática
ambiente-casa.html,interno,catalogo,ok,resolução local estática
ambiente-casa.html,interno,montar,ok,resolução local estática
ambiente-casa.html,interno,minha-lista,ok,resolução local estática
ambiente-casa.html,interno,carrinho,ok,resolução local estática
ambiente-casa.html,interno,minha-casa,ok,resolução local estática
ambiente-casa.html,interno,pequenos-espacos,ok,resolução local estática
ambiente-casa.html,interno,ambiente-cozinha,ok,resolução local estática
ambiente-casa.html,interno,lavanderia,ok,resolução local estática
ambiente-casa.html,interno,cinema-em-casa,ok,resolução local estática
ambiente-casa.html,interno,casa-inteligente,ok,resolução local estática
ambiente-casa.html,interno,pequenos-espacos,ok,resolução local estática
ambiente-casa.html,interno,ambiente-cozinha,ok,resolução local estática
ambiente-casa.html,interno,lavanderia,ok,resolução local estática
